english,mandarin,pinyin
Xinzhuang,莘庄,xinzhuang
Waihuanlu,外环路,waihuanlu
Lianhua Road,莲花路,lianhualu
Jinjiang Park,锦江乐园,jinjiangleyuan
Shanghai South Railway Station,上海南站,shanghainanzhan
Caobao Road,漕宝路,caobaolu
Shanghai Indoor Stadium,上海体育馆,shanghaitiyuguan
Xujiahui,徐家汇,xujiahui
Hengshan Road,衡山路,hengshanlu
Changshu Road,常熟路,changshulu
South Shaanxi Road,陕西南路,shanxinnanlu
Site of the First CPC National Congress · South Huangpi Road,一大会址·黄陂南路,yidahuizhihuangpinanlu
People's Square,人民广场,renminguangchang
Xinzha Road,新闸路,xinzhalu
Hanzhong Road,汉中路,hanzhonglu
Shanghai Railway Station,上海火车站,shanghaihuochezhan
North Zhongshan Road,中山北路,zhongshanbeilu
Yanchang Road,延长路,yanchanglu
Shanghai Circus World,上海马戏城,shanghaimaxicheng
Wenshui Road,汶水路,wenshuilu
Pengpu Xincun,彭浦新村,pengpuxincun
Gongkang Road,共康路,gongkanglu
Tonghe Xincun,通河新村,tonghexincun
Hulan Road,呼兰路,hulanlu
Gongfu Xincun,共富新村,gongfuxincun
Bao'an Highway,宝安公路,baoangonglu
West Youyi Road,友谊西路,youyixilu
Fujin Road,富锦路,fujinlu
National Exhibition and Convention Center (Line 2),国家会展中心(2号线),guojiahuizhanzhongxin2
Hongqiao Railway Station,虹桥火车站,hongqiaohuochezhan
Hongqiao Airport Terminal 2,虹桥2号航站楼,hongqiaoerhaohangzhanlou
Songhong Road,淞虹路,songhonglu
Beixinjing,北新泾,beixinjing
Weining Road,威宁路,weininglu
Loushanguan Road,娄山关路,loushanguanlu
Zhongshan Park,中山公园,zhongshangongyuan
Jiangsu Road,江苏路,jiangsulu
Jing'an Temple,静安寺,jingansi
West Nanjing Road,南京西路,nanjingxilu
East Nanjing Road,南京东路,nanjingdonglu
Lujiazui,陆家嘴,lujiazui
South Pudong Road (Line 2),浦东南路(2号线),pudongnanlu2
Century Avenue,世纪大道,shijidadao
Shanghai Science & Technology Museum,上海科技馆,shanghaikejiguan
Century Park,世纪公园,shijigongyuan
Longyang Road,龙阳路,longyanglu
Zhangjiang Hi-Tech Park,张江高科,zhangjianggaoke
Jinke Road,金科路,jinkelu
Guanglan Road,广兰路,guanglanlu
Tangzhen,唐镇,tangzhen
Middle Chuangxin Road,创新中路,chuangxinzhonglu
East Huaxia Road,华夏东路,huaxiadonglu
Chuansha,川沙,chuansha
Lingkong Road,凌空路,lingkonglu
Yuandong Avenue,远东大道,yuandongdadao
Haitiansan Road,海天三路,haitiansanlu
Pudong Airport Terminal 1 & 2,浦东1号2号航站楼,pudongyihaoerhaohangzhanlou
Shilong Road,石龙路,shilonglu
Longcao Road,龙漕路,longcaolu
Caoxi Road,漕溪路,caoxilu
Yishan Road,宜山路,yishanlu
Hongqiao Road,虹桥路,hongqiaolu
West Yan'an Road,延安西路,yananxilu
Jinshajiang Road,金沙江路,jinshajianglu
Caoyang Road,曹杨路,caoyanglu
Zhenping Road,镇坪路,zhenpinglu
