//scott/menus
猪排	Zhūpái	pork chops
招牌总汇	Zhāopái zǒnghuì	signboard collection
馄饨	Húntún	wontons
鸡汤小馄饨	Jītāng xiǎo húntún	Chicken Wonton Soup
台式蛋饼	Táishì dàn bǐng	Taiwanese egg pancake
鲜肉大馄饨	Xiān ròu dà húntún	Fresh Meat Wontons
粽子	Zòngzǐ	glutinous rice wrapped in bamboo leaves: sweet or savory
饭团	Fàntuán	rice ball
赤豆粽子	Chì dòu zòngzǐ	red bean zongzi
蜜枣粽子	Mìzǎo zòngzǐ	candied date zongzi
香菇菜肉大馄饨	Xiānggū cài ròu dà húntún	Mushroom Vegetable and Meat Wontons
肉松	Ròusōng	Meat floss
荠菜鲜肉大馄饨	Jìcài xiān ròu dà húntún	Shepherd's purse and fresh meat large wontons
荠菜虾仁馄饨	Jìcài xiārén húntún	Shepherd's Purse and Shrimp Wontons
蛋黄	Dànhuáng	egg yolk
金牌虾仁	Jīnpái xiārén	Gold Medal Shrimp
青椒腰花面(饭)	Qīngjiāo yāohuā miàn (fàn)	Green pepper and kidney noodles (rice)
泡椒鸡胗面	Pào jiāo jī zhēn miàn	Pickled Pepper Chicken Gizzard Noodles
香干肉丝面	Xiānggān ròu sī miàn	Dried Tofu and Shredded Pork Noodles
青椒回锅肉面	Qīngjiāo huíguōròu miàn	Green pepper pork (twice-cooked) noodles
麻辣	Málà	(numb) spicy *
干辣肉丝面	Gàn là ròu sī miàn	Dry Spicy Shredded Pork Noodles
鱼香茄子面	Yú xiāng qiézǐ miàn	Fish-flavored eggplant noodles
番茄炒蛋面	Fānqié chǎo dàn miàn	Tomato Scrambled Egg Noodles
宫保鸡丁面	Gōng bǎo jī dīng miàn	Kung Pao Chicken Noodles
青菜炒肉丝饭	Qīngcài chǎo ròu sī fàn	Fried pork with green vegetables and rice
榨菜肉丝面	Zhàcài ròu sī miàn	Pickled mustard greens with shredded pork noodles
红烧牛肉面	Hóngshāo niúròu miàn	Braised Beef Noodles
辣子鸡面	Làzǐ jī miàn	Spicy Chicken Noodles
红烧小排骨面	Hóngshāo xiǎo páigǔ miàn	Braised short ribs noodles
大排面	Dà pái miàn	pork chop noodles
酸豆角肉糜面	Suān dòujiǎo ròumí miàn	Sour beans and minced meat noodles
洋葱回锅肉面	Yángcōng huíguōròu miàn	Onion pork twice-cooked noodles
重庆小面	Chóngqìng xiǎo miàn	Chongqing Noodles (very spicy/numbing)
葱油拌面	Cōng yóu bàn miàn	Scallion oil (mixed) noodles
芹菜肉丝面	Qíncài ròu sī miàn	Celery and Shredded Pork Noodles
素鸡面	Sù jī miàn	Vegetarian Chicken Noodles
雪菜面	Xuě cài miàn	Snow vegetable noodles
骨头汤面	Gǔtou tāngmiàn	bone noodle soup
蹄膀面	Tí páng miàn	pork shank noodles
杂酱面	Zá jiàng miàn	mixed (sauce) noodles
份	Fèn	portion
杭州名小吃	Hángzhōu míng xiǎochī	Hangzhou famous snacks
铁锅木郎鱼头	Tiě guō mù láng yú tóu	Iron pot Murang fish head
有名的杭州菜	Yǒumíng de hángzhōu cài	Famous Hangzhou dishes
醋笋壳鱼	Cù sǔn ké yú	Fish with vinegar and bamboo shoots
酒水饮料	Jiǔshuǐ yǐnliào	beverages
鱼角	Yú jiǎo	Fish fillet
东城扣肉	Dōngchéng kòu ròu	Dongcheng (east city) Braised Pork
龙井绿茶饼	Lóngjǐng lǜchá bǐng	Longjing (dragon well) green tea cake
虾仁10克	Xiārén 10 kè	10 grams of shrimp
水米糕	Shuǐ mǐ gāo	rice cake
紫菜	Zǐcài	nori seaweed
肉酱蒸蛋	Ròu jiàng zhēng dàn	Steamed Egg with Meat Sauce
招牌必喝榜	Zhāopái bì hē bǎng	Signature Must drink ranking
超级水果茶	Chāojí shuǐguǒ chá	Super Fruit Tea
扫码下单	Sǎo mǎ xià dān	Scan the QR code to place an order
实在鲜果茶	Shízài xiānguǒ chá	Real fresh fruit tea
超人气奶茶	Chāo rénqì nǎichá	super popular milk tea
加料	Jiāliào	add-ons
新的	Xīn de	new
爆打葡萄柠	Bào dǎ pútáo níng	Explosive Grape Lemon
出售	Chūshòu	for sale
推荐	Tuījiàn	recommended
熔岩巧克力	Róngyán qiǎokèlì	molten (melt rock) chocolate
草莓牛乳	Cǎoméi niúrǔ	strawberry milk
葡萄椰椰	Pútáo yē yē	grape coconut
售罄	Shòu qìng	sold out
超厚芋泥奶绿	Chāo hòu yù ní nǎi lǜ	Super thick taro paste green milk tea
薄荷奶绿	Bòhé nǎi lǜ	mint milk green tea
芒芒火龙果酸奶	Máng máng huǒlóng guǒ suānnǎi	Mango Dragon Fruit Yogurt
茉香奶绿典	Mò xiāng nǎi lǜ diǎn	jasmine milk green tea classic
珍珠奶茶	Zhēnzhū nǎichá	Pearl milk tea
可更换为红豆/椰果	Kě gēnghuàn wèi hóngdòu/yē guǒ	Can be replaced with red bean/coconut
芋圆	Yù yuán	taro balls
蜂蜜柚子茶	Fēngmì yòuzǐ chá	Honey grapefruit tea
茉莉香椰	Mòlì xiāng yē	jasmine coconut
鲜萃茗茶	Xiān cuì míng chá	freshly brewed tea
现磨咖啡	Xiàn mò kāfēi	Freshly ground coffee
生酪拿铁	Shēng lào ná tiě	raw cheese latte
小程序下单更优惠	Xiǎo chéngxù xià dān gèng yōuhuì	mini program orders more discount
1元可升级零卡糖	1 Yuán kě shēngjí líng kǎ táng	1 yuan to upgrade to zero-calorie sugar
奶冻	Nǎi dòng	milk jelly
麻薯	má shǔ	mochi
晶球	jīng qiú	Crystal ball / boba
紫米绵绵糕	Zǐ mǐ miánmián gāo	purple rice soft cake
芝麻	Zhīma	Sesame
草鸡蛋	Cǎo jīdàn	free-range eggs
现烤现卖	Xiàn kǎo xiàn mài	Freshly baked and sold
混搭糕	Hùndā gāo	mixed cake
营养美味	Yíngyǎng měiwèi	Nutritious and delicious
有营养	Yǒu yíngyǎng	Nutritious
香酥鸡蛋汉堡	Xiāng sū jīdàn hànbǎo	crispy egg burger
萧县卷凉皮	Xiāo xiàn juǎn liángpí	Xiaoxian (county) Rolled Cold Noodles
功夫卷饼	Gōngfū juǎn bǐng	kung fu burrito
双拼卷饼	Shuāng pīn juǎn bǐng	double combination burrito
牛肚双拼	Niú dǔ shuāng pīn	Beef tripe double combination
全家福卷	Quánjiāfú juǎn	family roll / photo; all ingredients?
卤蛋另加2元	Lǔ dàn lìng jiā 2 yuán	braised egg add 2 yuan
脆藕干张卷	Cuì ǒu gàn zhāng juǎn	crispy dried lotus root roll
麻辣鸭肠卷	Málà yā cháng juǎn	(numbing) spicy Duck Sausage Rolls
酥嫩鸡柳	Sū nèn jī liǔ	crisp and tender chicken fillet
招牌卤肉	Zhāopái lǔ ròu	Signature Braised Pork
五香牛肉	Wǔxiāng niúròu	five spice beef
除牛陆为任选一种肉	Chú niú lù wèi rèn xuǎn yī zhǒng ròu	Any meat except beef
牛肚另加10	Niú dǔ lìng jiā 10	beef tripe (belly) plus 10
脆饼	Cuì bǐng	crackers / shortbread (in omelette)
双蛋	Shuāng dàn	double egg
五花卤肉	Wǔ huā lǔ ròu	Braised pork belly
粢饭团	Cī fàntuán	glutinous rice balls
奥尔良鸡腿肉	Ào'ěrliáng jītuǐ ròu	Orleans Chicken Thighs
爆炒肉沫	Bào chǎo ròu mò	Stir-fried minced meat
粉酸笋	Fěn suān sǔn	(pink) sour bamboo shoots
武夷山鲜笋	Wǔyíshān xiān sǔn	Wuyi Mountain Fresh Bamboo Shoots
肉花肠	Ròu hua cháng	pork sausage
玉米肠	Yùmǐ cháng	corn sausage
鸡柳	Jī liǔ	Chicken Fillet
王中王火腿肠	Wáng zhōng wáng huǒtuǐ cháng	King of Kings Ham Sausage
咸鸭蛋	Xián yādàn	Salted Duck Eggs
虾皮	Xiāpí	dried shrimp
芝士碎	Zhīshì suì	cheese shredded/crumbled
奶酪片	Nǎilào piàn	cheese slices
虾棒	Xiā bàng	shrimp stick
酸豆角	Suān dòujiǎo	pickled beans
海带丝	Hǎidài sī	shredded kelp
豆皮	Dòu pí	tofu skin
海苔碎	Hǎitái suì	Shredded seaweed
金针菇	Jīnzhēngū	needle mushroom
沙拉酱	Shālā jiàng	salad dressing
番茄酱	Fānqié jiàng	ketchup
生菜	Shēngcài	lettuce
春卷	Chūnjuǎn	spring rolls
可乐	Kělè	coke
水晶虾饺	Shuǐjīng xiā jiǎo	Crystal Shrimp Dumplings
腊味蛋炒饭	Làwèi dàn chǎofàn	Preserved Meat and Egg Fried Rice
招牌荷花酥	Zhāopái héhuā sū	Signature Lotus Crisp
红糖冰粉	Hóngtáng bīng fěn	Brown sugar ice powder
百香柠檬茶	Bǎixiāng níngméng chá	passionfruit lemon tea
清炒青菜	Qīng chǎo qīngcài	stir-fried green vegetables
葱油生菜	Cōng yóu shēngcài	Scallion Oil Lettuce
干菜刀豆	Gān càidāo dòu	Dried sword beans
干煸花菜	Gān biān huācài	dry-fried cauliflower
